OBJECTID,CATEGORY,PROJECT TITLE,GRANTEE TYPE,GRANT PROGRAM,GlobalID,URL 2,LOCATION NOTES,PROJECT DESCRIPTION,URL 1,URL 3,URL 4,URL 5,MATCH  AMOUNT,CZM REGION,URL 1 TEXT,URL 2 TEXT,URL 3 TEXT,URL 4 Text,URL 5 TEXT,TOWN,MULTI_JURISTICTIONAL,GRANT_AWARD,GRANTEE,WATERSHED,YEAR,x,y
407,Design & Permitting,Complete Environmental Permitting for Temporary Flow Training Structures and Beach Nourishment,Municipal,Coastal Resilience,8b9c0bdb-2ec1-4a3c-86cc-5b475a5e64e4,,,"The Town of Chatham will continue public outreach and complete permitting for beach nourishment and temporary structures that redirect tidal currents to address shoreline erosion and shoaling near Stage Harbor and Morris Island. The project will help stabilize the channel and barrier beach system, improving navigability and storm damage protection.",https://www.chatham-ma.gov/179/Coastal-Resources,,,,16740,Cape Cod And Islands,Chatham Contact Information,,,,,Chatham,No,94540,Chatham,Cape Cod,2024,-7789254.75263247,5109327.6205258
284,Habitat Restoration,Pleasant Bay Living Shoreline: Restoration along Muddy Creek Channel Adjacent to Jackknife Harbor Beach,Municipal,Coastal Resilience,6e9b12f3-d7d0-4aae-9cf5-96958b3cdb57,https://pleasantbay.org/programs-and-projects/climate-resilience/living-shoreline-pilot-project,,The Pleasant Bay Alliance advanced the conceptual design and initiated environmental permitting for restoring and enhancing salt marsh along the southern bank of the tidal channel into Muddy Creek.,https://pleasantbay.org,,,,21000,Cape Cod and Islands,Pleasant Bay Alliance Contact Information,Project Website,,,,Chatham,No,75000,"Chatham, on behalf of the Pleasant Bay Alliance",Cape Cod,2021,-7791624.70345125,5117956.48276905
29,Design & Permitting,Salt Marsh Restoration Through The Beneficial Reuse Of Dredged Material,Municipal,Coastal Resilience,7ca13857-cf5c-4a30-8e87-55223053a869,,,"Dennis evaluated, designed, and prepared permit applications for a pilot project on Stage Island and West Dennis Beach to determine whether the beneficial reuse of dredged material effectively reduces marsh losses and restores storm protection functions.",https://www.town.dennis.ma.us/harbormaster,,,,5687,Cape Cod and Islands,Dennis Contact Information,,,,,Dennis,No,22750,Dennis,Cape Cod,2017,-7813809.96033247,5109170.08822853
232,Construction - Stormwater Infrastructure,Sandwich Harbor Stormwater Mitigation,Municipal,Coastal Pollutant Remediation,5c57926d-2a4d-40b9-a1ef-e163f46bf519,,,Sandwich designed and constructed green infrastructure and infiltration chambers to treat bacteria and nutrients in stormwater. Goals are to improve water quality and reclassify Sandwich Harbor as fully approved for shellfishing.,https://www.flickr.com/photos/usdagov/sets/72157713838363218/,,,,588867,Cape Cod and Islands,USDA Project Flickr,,,,,Sandwich,No,176482,Sandwich,Cape Cod,2019,-7846871.34962546,5125502.87202423
315,Habitat Restoration,Pleasant Bay Living Shorelines: Jackknife Beach Salt Marsh Restoration,Municipal,Coastal Resilience,0b283cc5-64ab-4330-88fa-7150ef1def38,https://pleasantbay.org/wp-content/uploads/Jackknife-Beach-NOI-Draft-06302022Living-shoreline-CZM-FY-22.pdf,,The Pleasant Bay Alliance completed a Notice of Intent and Environmental Notification Form for a fringing salt marsh enhancement project to protect the Jackknife Beach recreational area.,https://pleasantbay.org,,,,26399,Cape Cod and Islands,Pleasant Bay Alliance Contact Information,NOI,,,,Chatham,No,57390,Chatham on behalf of the Pleasant Bay Alliance,Cape Cod,2022,-7791637.42629866,5117934.60437394
418,Planning & Outreach,Feasibility Study and Design for Flood Barrier in Nantucket's Historic Downtown Gateway,Municipal,Coastal Resilience,d856028e-dcb9-4774-80c3-ba88c41680b0,https://www.nantucket-ma.gov/DocumentCenter/View/48052/Easy-St-Existing-Conditions-and-Flood-Risk-Report-2024-PDF,,"The Town of Nantucket will create preliminary designs for installing flood barriers in the lowestlying section of its downtown waterfront. Based on feasibility assessments and community engagement, Nantucket will evaluate various options including road elevations to ensure access to roads, ferry service, and businesses in the area.",https://www.nantucket-ma.gov/3036/Feasibility-Study-and-Design-for-Flood-M,,,,140625,Cape Cod And Islands,Feasibility Study and Design for Flood Mitigation on Easy Street,Easy Street Existing Conditions and Flood Risk Report,,,,Nantucket,No,421875,Nantucket,Islands,2024,-7803211.62354093,5054463.3936368
169,Design & Permitting,West Rodney French Boulevard Beach Nourishment - Engineering and Permitting,Municipal,Coastal Resilience,543a700f-dda2-4cd2-bb5d-353eea0d5a55,,,New Bedford completed a detailed analysis of shore protection alternatives and developed engineering plans for a preferred beach nourishment project along West Rodney French Boulevard.,https://www.newbedford-ma.gov/public-infrastructure/,,,,38261,South Coast,New  Bedford Contact Information,,,,,New Bedford,No,153045,New Bedford,Buzzards Bay,2018,-7894074.92951115,5101627.53944651
424,Design & Permitting,Public Boat Ramp Stormwater Remediation - Phase 2,Nonprofit,Coastal Habitat and Water Quality,9dce28ad-2548-483f-825e-7f359bfc4f39,,"Location noted as address of awardee (Association to Preserve Cape Cod), since the project spans 3 Cape Cod municipalities.","The Association to Preserve Cape Cod (APCC) will complete final designs and permitting for green stormwater infrastructure at four public boat ramp sites in partnership with the Massachusetts Department of Fish and Game, the towns of Dennis, Yarmouth, and Mashpee, the Natural Resources Conservation Service, and the Cape Cod Conservation District. Additionally, working with project partners, APCC will complete construction of stormwater Best Management Practices (BMPs) at two of these sites and support construction at a third public boat ramp. This project will treat stormwater for nutrients and bacteria and builds off assessment work completed with support from previous CZM funding.",,,,,63028,"Cape Cod And Islands, , , , ",,,,,,"Dennis, Mashpee, Yarmouth",Yes,761137,Association to Preserve Cape Cod,Cape Cod,2024,-7814145.12628826,5120815.10369777
175,Construction - Other Infrastructure,Puritan Road Flood Mitigation and Ecological Resilience,Municipal,Coastal Resilience,b3e2e89c-e660-4f89-b9fe-f364146c697d,,,"Weymouth replaced an existing, collapsing culvert at the entrance to Great Esker Park with a new culvert and daylighted",https://www.weymouth.ma.us/planning-community-development/news/mayor-hedlund-dedicates-new-culvert-and-trailhead-at-great-esker,,,,90000,Boston Harbor,Project Dedication,,,,,Weymouth,No,360000,Weymouth,Boston Harbor: Weymouth & Weir,2018,-7895569.5263366,5195366.46867277
324,Design & Permitting,Marblehead Municipal Light Department and Adjoining Public Lands Coastal Resilience Implementation and Expanded Analysis and Design,Municipal,Coastal Resilience,4d47a05a-b5c3-4251-84fa-f718462a9176,,,"Marblehead conducted a detailed vulnerability assessment of the Municipal Light Department, Hammond Park and adjoining public infrastructure and developed alternatives to mitigate flooding and sea level rise impacts.",https://www.marblehead.org/town-planners-office/news/coastal-resilience-projectpart-2,,,,39443,North Shore,Project Information,,,,,Marblehead,No,151705,Marblehead,North Coastal,2022,-7887231.48480646,5235709.43438212
75,Design & Permitting,Design and Permitting for Restoration at Chapoquoit Beach through Beneficial Reuse of Dredged Materials,Municipal,Coastal Resilience,01b6d174-624f-4a7f-bd17-1b3266018838,,,The town designed a beach restoration project for a critically eroded section of Chapoquoit Beach and initiated coordination with the U.S. Army Corps of Engineers to receive sand dredged from the Cape Cod Canal for future beach restoration projects.,https://www.falmouthma.gov/229/Marine-Environmental-Services,,,,26165,Cape Cod and Islands,Falmouth Contact Information,,,,,Falmouth,No,81767,Falmouth,Buzzards Bay,2016,-7864464.95439854,5100627.90125244
344,Vulnerability Assessment,Preserving History: Assessments and Climate Adaptations at the House of Seven Gables,Nonprofit,Coastal Resilience,04a73b1e-70f3-4e06-ae42-46269fa8f812,,,"The House of Seven Gables will prepare an adaptation plan that identifies short-, medium- and long-term actions to improve the resilience of its buildings to anticipated changes in coastal storms and climate change.",https://7gables.org/,,,,81587,North Shore,The House of the Seven Gables Contact Information,,,,,Salem,No,509919,House of Seven Gables,North Coastal,2023,-7890737.7140272,5239413.99496245
201,Construction - Other Infrastructure,Installation of Bypass Connection at Cohasset Narrows and Hynes Field Pump Stations,Municipal,Coastal Resilience,0563f435-f045-41c9-94ec-e36610bc82ea,,,Wareham installed mechanical sewer bypass connections at the Hynes and Cohasset Narrows pump stations to allow the pump stations to immediately continue servicing critical infrastructure facilities in the event of a catastrophic flood event.,https://www.wareham.ma.us/sewer-department,,,,38343,South Coast,Warehem Contact Information,,,,,Wareham,No,193725,Wareham,Buzzards Bay,2019,-7868475.21475464,5125238.17567501
438,Habitat Restoration,Habitat Assessment and Restoration for Diadromous Fish in the Ipswich River Watershed ,Nonprofit,Coastal Habitat and Water Quality,a0fb971e-5c6b-4100-8866-092949db82fb,,,"The Ipswich River Watershed Association, in partnership with the Towns of Ipswich and Topsfield, and the MA Division of Marine Fisheries will develop a comprehensive habitat restoration plan to improve aquatic habitat and riverine conditions in the Ipswich River. Draining to the Great Marsh Area of Critical Environmental Concern (ACEC), the Ipswich River is crucial habitat for diadromous fish species. This habitat is impaired due to low dissolved oxygen levels, bacteria, and barriers to flow. The project team will assess current habitat conditions and develop strategies and recommendations to improve habitat in the river. ",,,,,9600,North Shore,,,,,,"Ipswich, Topsfield",No,137053,Ipswich River Watershed Association,Ipswich,2025,-7887133.33840698,5260704.69209931
181,Construction - Stormwater Infrastructure,Jones River Estuary BMP Design and Implementation Project,Municipal,Coastal Pollutant Remediation,974c4969-9693-4483-a5cd-0cfe39086dae,,,"The Town of Kingston constructed stormwater infiltration chambers at priority sites to treat bacteria and sediment entering the Jones River, part of a long-term effort to improve water quality and expand shellfish harvesting in Kingston Bay.",,,,,55367,South Shore,,,,,,Kingston,No,161288,Kingston,South Coastal,2018,-7873849.03316518,5159186.712997
9,Planning & Outreach,Increasing Coastal Resiliency and Reducing Infrastructure Vulnerability By Mapping Inundation Pathways,Municipal,Coastal Resilience,f470b142-40da-4abb-92e6-54bbe022bbcf,https://coastalstudies.org/wp-content/uploads/2020/04/STP-Provincetown_final.pdf,,Provincetown identified low-lying areas that provide a direct pathway for flood waters to reach inland areas and installed a tide gauge to provide real-time water level data.,https://www.provincetown-ma.gov/DocumentCenter/View/9094,,,,40332,Cape Cod and Islands,Final Report,Method Report,,,,Provincetown,No,155125,Provincetown,Cape Cod,2015,-7813273.07422905,5168678.09327771
109,Construction - Shoreline Restoration,Demonstration of Living Shoreline Technology and Development of Ribbed Mussell Seed Production to Protect and Resore Salt Marsh in Coastal MA,NGO,Coastal Resilience,ab3f108b-2d7c-451b-9b55-f52a56289911,,,MVSG conducted preliminary investigations into the hatchery production of ribbed mussels and tested living shoreline techniques at four pilot sites in embayments on Martha's Vineyard.,http://www.mvshellfishgroup.org/,,,,16573,Cape Cod and Islands,MVSG Contact Information,,,,,Edgartown,No,35262,"Martha's Vineyard Shellfish Group, Inc.",Islands,2014,-7854447.3850301,5073877.4007501
338,Design & Permitting,Pleasant Bay Living Shorelines: Jackknife Beach Salt Marsh Restoration,Municipal,Coastal Resilience,4ebd5779-a064-4031-b023-481d26b98fb7,,,The Pleasant Bay Alliance will complete permitting and prepare construction documents for a living shoreline project that will enhance fringing salt marsh and protect the Jackknife Beach recreational area.,https://pleasantbay.org,,,,19845,Cape Cod and Islands,Pleasant Bay Alliance Contact Information,,,,,Chatham,No,82690,Chatham,Cape Cod,2023,-7791598.7142338,5117975.98289757
89,Design & Permitting,Unquity Brook Assessment Project,Municipal,Coastal Pollutant Remediation,b24f1009-fec2-4873-8f9a-80acb180344e,,,"The Town of Milton, in partnership with the Neponset River Watershed Association, performed an assessment of stormwater pollution in Unquity Brook, leading to stormwater Best Management Practice conceptual designs for priority locations.",,,,,7104,Boston Harbor,,,,,,Milton,No,19345,Milton,Boston Harbor: Neponset,2016,-7909196.75188364,5200981.08071338
195,Research & Monitoring,Monitoring and Maintenance of a Living Shoreline Project at Gray's Beach,Municipal,Coastal Resilience,343fa6f5-5bd1-48ae-bf57-3184bd8cca88,,,Kingston replanted salt marsh and dune vegetation and developed a monitoring procedure to help ensure the establishment of a recently completed restoration project.,https://www.kingstonma.gov/246/Conservation-Department-Conservation-Com,,,,12500,South Shore,Kingston Contact Information,,,,,Kingston,No,50000,Kingston,South Coastal,2019,-7870198.77929379,5158962.40024472
244,Design & Permitting,Design and Permitting for Nature-Based Storm-Damage Protection Measures for the Duxbury Beach Reservation Property,Nonprofit,Coastal Resilience,286cdcd4-c569-4b77-b49a-68d652260eb0,https://www.duxburybeachreservation.org/futureplanning,,The Duxbury Beach Reservation designed and initiated permitting for a comprehensive management approach that will increase resilience at vulnerable locations along Duxbury Beach and bayside areas.,http://www.duxburybeach.com/,,,,32973,South Shore,Duxbury Beach Reservation Contact Information,Project Website,,,,Duxbury,No,131894,"Duxbury Beach Reservation, Inc.",South Coastal,2020,-7862454.67869557,5165949.16573945
3,Design & Permitting,North Scituate Beach Nourishment,Municipal,Coastal Resilience,829e4703-b457-4a9e-8b1a-83fcc81de37e,,,"Scituate completed permitting activities for future sand, gravel, and cobble nourishment along 2,800 feet of severely eroding public beach at Glades and Surfside Roads in North Scituate.",https://www.scituatema.gov/flood-hazard-mitigation,,,,60290,South Shore,Scituate Contact Information,,,,,Scituate,No,241163,Scituate,South Coastal,2015,-7876907.01364616,5196098.10615583
252,Vulnerability Assessment,Increasing Resilience through Community Engagement: Facilitating Climate Adaptation Strategies for Marblehead and its Harbor,Municipal,Coastal Resilience,a3d222d5-64be-4fcc-acad-fc359653cad1,https://www.marblehead.org/sites/g/files/vyhlif4661/f/uploads/mhczm-crcasestudyfy20.pdf,,The Town of Marblehead assessed the vulnerability of municipally owned facilities and infrastructure in Marblehead Harbor to current and future flooding and sea level rise.,https://www.marblehead.org/planning-board,,,,23386,North Shore,Marblehead Contact Information,Case Study Report,,,,Marblehead,No,93545,Marblehead,North Coastal,2020,-7887254.70212691,5236554.8957989
146,Planning & Outreach,"Improving Coastal Hazard Management along the North Shore-Integrating Science, Outreach and Education to Increase Ecosystem and Community Resilience",Municipal,Coastal Resilience,711d600e-52cb-46ee-8130-90b4f00064a8,,,"The town of Essex developed a comprehensive database of coastal hazard data specific to the Great Marsh, conducted regional workshops on emergency management and resilience issues, and installed educational signage on climate change projections.",https://www.essexma.org/board-selectmen/pages/coastal-resilience-resources,,,,22864,North Shore,Resources,,,,,Essex,No,71450,Essex,North Coastal,2018,-7879534.43294491,5256065.78122558
295,Design & Permitting,Permitting and Public Education in Support of Beach and Dune Nourishment at Critically Eroded Beaches in Marshfield and Duxbury,Municipal,Coastal Resilience,3a6846ea-5209-40a6-96a6-179c69c6de0e,https://www.town.duxbury.ma.us/planning-department/pages/coastal-resiliency-marshfield-duxbury,,Marshfield and Duxbury completed environmental permitting for beach and dune nourishment projects at several vulnerable coastal beaches along the towns’ east facing shoreline.,https://www.marshfield-ma.gov/planning-department/pages/czm-coastal-resiliency-grant-beach-nourishment,,,,52730,South Shore,Marshfield Project Updates,Duxbury Project Updates,,,,"Marshfield, Duxbury",Yes,210922,Marshfield,South Coastal,2021,-7864576.46444399,5171967.47635702
427,Habitat Restoration,"Assisting Salt Marsh Migration in the Jones River Estuary, Kingston, MA",Municipal,Coastal Habitat and Water Quality,d64a662c-4042-469b-8f43-4552b44be796,,Project involves assessment of salt marsh migration corridors along the Jones River Estuary - primary areas of interest include: Stony & Tussock Brook area and the Smelt Brook area. ,"The town of Kingston, in partnership with Wildlands Trust, will conduct an analysis of land parcels for acquisition or conservation restriction establishment to facilitate marsh migration, or the landward movement of marshes into suitable adjacent lands with sea level rise. The analysis will include a desktop assessment to inventory parcels, identify landownership, and assess ecological value. The town will also conduct legal due diligence through a review of the legal requirements for conservation restrictions and fee simple purchase of parcels. This project addresses a priority action in the town’s comprehensive habitat restoration plan supported by previous CZM funding.",,,,,10934,South Shore,,,,,,Kingston,No,18000,Town of Kingston,South Coastal,2024,-7871986.80459821,5160049.30237306
404,Design & Permitting,Sandy Neck Beach Long-Term Coastal Resiliency Project,Municipal,Coastal Resilience,2df25f48-283f-4df5-88fe-95fa78430151,https://storymaps.arcgis.com/stories/625d26e1d6ba478888e920f142c28c38,,The Town of Barnstable finalized designs and filed permits to enhance the primary dune and relocate the parking lot landward at Sandy Neck Beach Park to reduce the risk of storm damage to infrastructure and preserve access to recreation.,https://town.barnstable.ma.us/departments/publicworks/,,,,30882,Cape Cod And Islands,Barnstable Contact Information,StoryMap,,,,Barnstable,No,92579,Barnstable,Cape Cod,2024,-7834703.95536482,5121928.25633237
189,Construction - Shoreline Restoration,Duxbury Beach Dune Restoration Project,Nonprofit,Coastal Resilience,859acc89-63f6-415b-bc69-243c926dcbb6,,,DBR constructed a dune restoration project between the first and second crossovers on Duxbury Beach to improve the resilience of the barrier beach system.,https://www.duxburybeachreservation.org/projects,,,,360000,South Shore,DBR Projects,,,,,Duxbury,No,500000,"Duxbury Beach Reservation, Inc.",South Coastal,2019,-7862889.05447386,5166522.05371396
72,Land Protection,Lewis Lake Tide Gate Replacement and Structure Rehabilitation,Municipal,Coastal Resilience,16f9169b-830e-4b74-b719-bd340fd9ac5d,,,"The town rehabilitated the tide gate at Lewis Lake to control flow and allow tidal exchange between Lewis Lake and Winthrop Harbor, helping to maximize available flood storage in the lake and reduce the extent of flooding.",https://www.town.winthrop.ma.us/,,,,79406,Boston Harbor,Winthrop Contact Information,,,,,Winthrop,No,317625,Winthrop,Boston Harbor: Proper,2016,-7900656.40410847,5216912.14113909
118,Construction - Other Infrastructure,Pump Station Hazard Mitigation Projects,Municipal,Coastal Resilience,0882b752-284a-4fd1-89da-aa52c1e031b0,,,The town constructed a new emergency generator above the 100-year flood elevation to provide two critical pump stations with emergency backup power.,https://www.oakbluffsma.gov/275/Wastewater-Department,,,,50000,Cape Cod and Islands,Oak Bluffs Contact Information,,,,,Oak Bluffs,No,200000,Oak Bluffs,Islands,2014,-7855515.56785604,5079718.51880877
258,Planning & Outreach,Evaluation of Coastal Processes and Storm Impacts to Support Resilient Planning and Mitigation Strategies for the Vineyard Haven Harbor Shoreline,Municipal,Coastal Resilience,4acdfdfb-fd49-48c6-b281-520c13d01e2d,,,The Town of Tisbury developed an understanding of flooding and sediment transport along the Vineyard Haven shoreline to support a detailed analysis of potential shoreline management strategies.,https://www.tisburyma.gov/,,,,32487,Cape Cod and Islands,Tisbury Contact Information,,,,,Tisbury,No,129951,Tisbury,Islands,2020,-7859732.4869293,5079575.69644359
264,Construction - Stormwater Infrastructure,Three Bays Stormwater BMP Construction,municipal,Coastal Pollutant Remediation,c80ce6c6-726a-47d3-a58a-1101f74ed13d,,,Barnstable constructed stormwater infrastructure to treat nitrogen and bacteria at two priority sites in the Three Bays watershed. Goals are to restore coastal habitat and improve water quality for swimming and shellfishing.,https://www.apcc.org/threebays/,,,,90000,Cape Cod and Islands,APCC Three Bays Webpage,,,,,Barnstable,No,223291,Barnstable,Cape Cod,2020,-7840137.33476395,5104928.21380817
335,Planning & Outreach,Intermunicipal Shoreline Management for Southeastern Cape Cod Bay,Municipal,Coastal Resilience,b6d5336f-0783-4c19-928b-2376b7691528,,,The Towns will partner on a regional shoreline management approach that aims to identify and pursue uniformly sound and science-based strategies along the towns’ 14.5-mile shoreline.,https://www.brewster-ma.gov/,,,,37493,Cape Cod and Islands,Brewster Contact Information,,,,,"Brewster, Dennis, Orleans",Yes,288414,"Brewster, Dennis, Orleans",Cape Cod,2023,-7796282.27370519,5128477.41539005
281,Design & Permitting,Technical Analysis and Resilient Design Development Options for East Boston's Waterfront (Carlton Wharf to Lewis Mall),Municipal,Coastal Resilience,f8fae32a-c15d-4424-b9b6-333aa7a41ce9,,,Boston analyzed site conditions and developed implementable design options to protect the East Boston waterfront and community from sea level rise and coastal storm events.,https://www.boston.gov/departments/environment/climate-ready-east-boston,,,,105000,Boston Harbor,Coastal Resilience for East Boston,,,,,Boston,No,300000,Boston,Boston Harbor: Proper,2021,-7908253.57531941,5216253.90389389
235,Construction - Other Infrastructure,Hyannis Harbor Pumpout Station,Municipal,Coastal Pollutant Remediation,ea76ace2-ccb1-4aeb-b4c9-72a81183dd54,,,"The Town of Barnstable designed and constructed a commercial pumpout facility in Hyannis Harbor, building on FY13 CPR funds, to improve water quality in Nantucket Sound as part of the State’s No Discharge Area designation.",,,,,37900,Cape Cod and Islands,,,,,,Barnstable,No,113700,Barnstable,Cape Cod,2014,-7823183.15970818,5108655.63327844
358,Planning & Outreach,Resilient Main Street,Municipal,Coastal Resilience,f096cf07-0ce7-445a-b4e1-6e2a245ecbd3,,,The Town of Wareham will develop a conceptual plan for implementable adaptation measures that can reduce flood risk to the Main Street commercial district.,https://storymaps.arcgis.com/stories/08926a74d4a84ab2a7598f332464c197,,,,3998,South Coast,StoryMap,,,,,Wareham,No,199918,Wareham,Buzzards Bay,2023,-7871921.69352286,5124833.93059165
421,Construction - Shoreline Restoration,North Scituate Beach Nourishment,Municipal,Coastal Resilience,f4a1a1f8-412b-462e-8748-5865c7998003,,,"The Town of Scituate will place an additional 26,000 cubic yards of sand and gravel on North Scituate Beach to extend the nourishment area and the life of the project. The nourished beach will help protect vulnerable public infrastructure and homes from coastal storm impacts.",https://www.scituatema.gov/coastal-management-and-flood-hazard-mitigation,,,,52440,South Shore,Scituate Contact Information,,,,,Scituate,No,1976480,Scituate,South Coastal,2024,-7877015.51310221,5196493.54907015
410,Design & Permitting,Priority Coastal Flood Resiliency Improvements for Wastewater Infrastructure,Municipal,Coastal Resilience,b4e78cf9-b4e3-4a4a-80ff-dae13a8c77fd,,,The Town of Cohasset will finalize design plans and permitting for wastewater system flood resilience. The project will seal sewer pipes and manholes to reduce flows during flooding and will elevate electrical equipment.,https://cohassetma.org/733/Resiliency-Grant-Work,,,,9120,South Shore,Cohasset Contact Information,,,,,Cohasset,No,220000,Cohasset,South Coastal,2024,-7881195.34739188,5196887.20390116
66,Vulnerability Assessment,Designing Coastal Community Infrastructure for Climate Change,Municipal,Coastal Resilience,5db44979-3026-468c-a3e2-59f96cc3d714,,,"The city evaluated the vulnerability of municipal infrastructure to coastal flooding and sea level rise and identified local and regional strategies, including building retrofits and natural shoreline stabilization methods, to reduce future flood risks.",https://www.chelseama.gov/departments/housing_and_community_development/climate_resilience_sustainability.php#collapse1890b3,,,,22500,Boston Harbor,Chelsea Contact Information,,,,,Chelsea,No,90000,Chelsea,Boston Harbor: Mystic,2016,-7907399.73255012,5220118.13321688
