Year,Project Name,Town Name,Description,Coordinates,Latitude,Longitude
2019,Outstanding Bath Refinishing of Milford,Milford,"Purchased methylene chloride-free paint strippers and equipment, including an air-operated drum pump, to eliminate the use of the toxic chemical methylene chloride in paint stripping products.","(42.0953895, -71.5276513)",42.0953895,-71.5276513
2019,Workshop Auto of Lowell,Lowell,"Installed an engine and parts washer to reduce solvents such as acetone, methanol, and toluene. Collaborated with TURI Lab and an equipment company to find safer aqueous alternatives.","(42.6302779, -71.3735074)",42.6302779,-71.3735074
2019,"Assistant Professor Wan-Ting (Grace) Chen, UMass Lowell",Lowell,Partnered with Raytheon Company to find safer solvents for replacing methylene chloride in removing chemical coatings. The team is testing performance of alternatives for chemical-resistant coatings.,"(42.6334247, -71.31617179999999)",42.6334247,-71.3161718
2019,"Professor Ramaswamy Nagarajan, UMass Lowell",Lowell,"Worked with Bradford Industries to identify and test safer solvent blends to replace dimethyl formamide (DMF), a toxic solvent. Continued research to assess coating quality and solvent blends for various applications in Bradford's products.","(42.6334247, -71.31617179999999)",42.6334247,-71.3161718
2019,"Assistant Professor Hsi-Wu Wong, UMass Lowell",Milford,"Continued collaboration with Waters Corporation to find safer alternatives to acetonitrile in liquid chromatography. In this phase, safer solvents were tested for detecting dyes, food, and environmental compounds in mass spectrometry.","(42.6552587, -71.3247164)",42.6552587,-71.3247164
2019,Clean Water Fund of Boston,Boston,"Educated Massachusetts residents on the risks of toxic flame retardants and PFAS in everyday products. Conducted workshops, shared brochures, and provided information on safer alternatives.","(42.3600825, -71.0588801)",42.3600825,-71.0588801
2019,Donï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½t Take ,Holyoke,"Expanded outreach on the hazards of BPA in thermal papers, including sticky labels and medical test labels. Provided educational materials, created a video, and advised businesses on phenol-free alternatives for receipts and labels.","(42.2042586, -72.6162009)",42.2042586,-72.6162009
2018,Kettle Cuisine of Lynn,Lynn,Continued work with UMass Lowellï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s Food Safety Lab to reduce sodium hydroxide use in cleaning food processing tanks. Second-year grant supports field testing safer alternatives to determine effectiveness and further re,"(42.4575484, -70.94778529999999)",42.4575484,-70.9477853
2018,Morgan Advanced Ceramics of New Bedford,New Bedford,"Aimed to eliminate trichloroethylene (TCE) use by purchasing a water-based cleaning system, expected to cut 3,300 lbs. of TCE annually, saving $10,000 and enhancing worker safety.","(41.726955, -70.954694)",41.726955,-70.954694
2018,MSI Transducers Corp. of Littleton,Littleton,Planned to reduce lead use and waste in manufacturing acoustic transducers by re-engineering injection molding tools to support anticipated production growth.,"(42.5577009, -71.4831884)",42.5577009,-71.4831884
2018,Auto Repair Shop at Assabet Valley Technical High School,Marlboro,"Purchased bio-based part washing systems to replace hazardous solvents, reducing chemical exposure for students and instructors, and estimated to save over $3,000 annually by cutting solvent use by 92 gallons.","(42.3681519, -71.5664434)",42.3681519,-71.5664434
2018,Dory Cleaners of Swampscott,Swampscott,"Converted from perchloroethylene (perc) to professional wet cleaning technology, enabling ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½dry-clean-onlyï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ clothes to be cleaned with water and detergents, e","(42.4674482, -70.91489179999999)",42.4674482,-70.9148918
2018,"Absolute Gymnastics of Tyngsboro, All Around Gymnastics of Plainville, Black & Gold Gymnastics of Middleton, Gymnastic Academy of Boston-Norwood, and Kaleidoscope of Dance and Gymnastics of Wareham","Tyngsboro, Plainville, Middleton, Norwood, Wareham","Replaced foam pit cubes containing flame retardants with safer alternatives, reducing exposure to endocrine-disrupting chemicals for young athletes.","(42.6766696, -71.4244224)",42.6766696,-71.4244224
2018,"Prof. Ram Nagarajan, UMass Lowell",Lowell,"Partnered with Bradford Industries for a second year to refine safer solvent blends for textile coatings, varying solvent ratios to meet performance and cost targets.","(42.6334247, -71.31617179999999)",42.6334247,-71.3161718
2018,"Assistant Prof. James Reuther, UMass Lowell",Lowell,"Sought safer alternatives for acetone in gel nail polish removers, reducing chronic exposure risks associated with eye irritation, dizziness, and potential damage to the central nervous and renal systems.","(42.6334247, -71.31617179999999)",42.6334247,-71.3161718
2018,"Assistant Prof. Hsi-Wu Wong, UMass Lowell",Milford,"Continued research with Waters Corporation to replace harmful solvents in liquid chromatography, targeting safer substitutes for methanol, acetonitrile, and tetrahydrofuran.","(42.6552587, -71.3247164)",42.6552587,-71.3247164
2018,Donï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½t Take That,Haydenville,"Educated on BPA and BPS exposure from receipts and thermal papers in low-income communities, sharing risks through social media, personal outreach, and a video, focusing on phenol-free alternatives.","(42.3743813, -72.7019868)",42.3743813,-72.7019868
2018,"The Field Fund, Inc.",Marthaï¿½ï¿½ï¿½ï¿½ï,"Advocated for natural grass fields on Marthaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s Vineyard, creating materials to promote the environmental and safety benefits of organic grass maintenance over artificial tur","(42.4072107, -71.3824374)",42.4072107,-71.3824374
2018,Lawrence Fire Department,Lawrence,"Integrated toxics use reduction in fire safety assessments across 103 auto repair shops, promoting safer alternatives for toxic products like wheel washes, spray gun washers, and degreasers during annual inspections.","(42.4072107, -71.3824374)",42.4072107,-71.3824374
2018,Worcester Public Schools,Worcester,"Aimed to replace toxic maintenance products in school buildings and buses, working with facility managers and teachers to identify safer alternatives for items like adhesive removers, lubricants, and boiler additives, to protect students and staff.","(42.2645677, -71.785972)",42.2645677,-71.785972
2017,Kettle Cuisine of Lynn,Lynn,"Collaborated with UMass Lowell Food Safety Lab to find safer cleaning formulations to replace sodium hydroxide, with the goal of reducing usage by 45,000 pounds annually if a safe substitute is identified.","(42.4575484, -70.94778529999999)",42.4575484,-70.9477853
2017,OFS of Sturbridge,Sturbridge,"Investigated closed-loop recycling of hydrogen fluoride used in etching glass, reducing worker exposure and toxic waste, and enhancing efficiency with consistent acid etch rates.","(42.1104888, -72.06834409999999)",42.1104888,-72.0683441
2017,"US Pack, Inc. of Leominster",Leominster,"Invested in a 10-head pressure gravity filler to reduce toxic chemicals like acetone, ethylene glycol, and methanol, potentially decreasing chemical use by over 19,000 pounds annually in custom liquid specialty product manufacturing.","(42.53127240000001, -71.75226219999999)",42.53127240000001,-71.7522622
2017,Lytron of Woburn,Woburn,"Worked with TURI Lab to identify safer alternatives to trichloroethylene (TCE) for cleaning processes, aiming to improve employee safety and operational efficiency through a two-phase project involving vacuum degreasers and aqueous cleaners.","(42.49537979999999, -71.1220984)",42.49537979999999,-71.1220984
2017,"Prof. Ram Nagarajan, UMass Lowell",Lowell,Partnered with Bradford Industries to use HSPiP software to identify safer alternatives for the toxic solvent dimethylformamide (DMF) in textile coating applications.,"(42.6334247, -71.31617179999999)",42.6334247,-71.3161718
2017,"Profs. Jayant Kumar and Ram Nagarajan, UMass Lowell",Leominster,"Collaborated with Mexichem Specialty Compounds to develop safer alternatives to antimony trioxide, a carcinogenic flame retardant, for PVC-based cable and wire products, supporting safer flame retardant use in Massachusetts.","(42.6334247, -71.31617179999999)",42.6334247,-71.3161718
2017,"Assistant Prof. Hsi-Wu Wong, UMass Lowell",Milford,"Worked with Waters Corporation to identify safer solvent formulations for liquid chromatography equipment, targeting replacements for methanol, acetonitrile, and tetrahydrofuran.","(42.6552587, -71.3247164)",42.6552587,-71.3247164
2017,"Assistant Prof. Christopher Hansen, UMass Lowell",Lowell,"Researched chlorinated solvent alternatives for industrial applications, using a solvent database to identify and verify effective, safer replacements in lab-scale tests.","(42.6334247, -71.31617179999999)",42.6334247,-71.3161718
2017,Auto Collision Shop at Assabet Valley Technical High School,Marlboro,"Replaced hazardous gun washing solvents with water-based solutions in their shop, creating a safer educational environment and reducing hazardous waste disposal costs.","(42.3681519, -71.5664434)",42.3681519,-71.5664434
2017,Walkerï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s Gymnas,Lowell,"Replaced foam cubes in landing pits with flame retardant-free alternatives, protecting young gymnasts from potential endocrine-disrupting chemicals found in standard foam materials.","(42.6242069, -71.3136585)",42.6242069,-71.3136585
2017,Becks Printing of North Adams,North Adams,"Purchased an embroidery machine to eliminate the need for a screen printing machine, which required extensive use of inks and chemical cleaners.","(42.7007146, -73.1495084)",42.7007146,-73.1495084
2017,"The Field Fund, Inc. of Marthaï¿½ï¿½ï¿½ï¿½ï",Marthaï¿½ï¿½ï¿½ï¿½ï,"Maintained organic grass playing fields to preserve natural landscapes and reduce synthetic chemical use, while promoting healthy sports environments for local athletes.","(41.3804981, -70.645473)",41.3804981,-70.645473
2017,Silent Spring Institute of Newton,Newton,"Partnered with Massachusetts Breast Cancer Coalition to educate high school students about reducing exposure to carcinogens and endocrine-disrupting chemicals, using a curriculum that includes the Detox Me mobile app for safe home practices.","(42.3592294, -71.2054393)",42.3592294,-71.2054393
2017,Town of Williamstown,Williamstown,"Adopted a pollinator-friendly community resolution, promoting pesticide and herbicide reduction to protect bee populations. Hosted educational events and garden tours to foster pollinator-friendly practices.","(42.71126330000001, -73.1994775)",42.71126330000001,-73.1994775
2017,Worcester Public Schools,Worcester,"Reduced asthmagens and hazardous chemicals in school buses and kitchens, piloting safer cleaning and disinfection practices to protect student and staff health while maintaining sanitation.","(42.2645677, -71.785972)",42.2645677,-71.785972
